計畫名稱,鑽孔編號,試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體密度(t/m3),空隙比,D10(mm),D30(mm),D60(mm),統體單位重(t/m3),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,壓縮指數(Cc),再壓指數(Cr),預壓密壓力(kg/cm2),試體初始含水量(%),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),座標系統,孔口X座標,孔口Y座標,尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),試體最終單位重(t/m3),細料(%),乾密度(t/m3),凝聚力(kg/cm2),內摩擦角(度),有效凝聚力(kg/cm2),有效內摩擦角(度),初始含水量(%),最終含水量(%),初始單位重(t/m3),初始飽和度(%),破壞時孔隙水壓參數A,壓密係數(10^-3cm2/s),不擾動試體初始單位重(t/m3),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),試體初始單位重(t/m3),最終單位重(t/m3),不擾動剪力強度(kg/cm2),重模剪力強度(kg/cm2),十字片直徑(mm),十字片長度(mm),乾單位重(t/m3),孔口Y座標.1,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-4,7.5,8.0,CL,30.0,27.1,8.2,2.72,,,,,,0.88,,,,1.88,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-5,10.0,10.5,CL,33.4,29.3,11.4,2.72,,,,,,0.91,,,,1.9,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-6,11.5,12.0,CL,36.7,36,15.2,2.72,,,,,,1.07,,,,1.8,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-7,13.0,13.5,CL,39.9,42.2,20.2,2.73,,,,,,1.2,,,,1.74,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,T-2,15.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,0.37,1.5,,,,,,,,,,,,,,,,,,,,,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-8,15.5,16.0,CL,40.2,37.6,16.5,2.73,,,,,,1.1,,,,1.82,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-9,17.5,18.0,CL,31.4,34.6,15.4,2.72,,,,,,0.92,,,,1.86,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-10,19.0,19.5,CL,33.8,35,15.3,2.72,,,,,,0.98,,,,1.84,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-11,21.5,22.0,CL,36.2,42.7,22.4,2.73,,,,,,1.13,,,,1.75,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-12,23.5,24.0,CL,30.4,28.7,8.3,2.72,,,,,,0.9,,,,1.86,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,T-4,25.0,25.15,,,,,,,,,,,,,,,,0.82,10.66,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-13,25.5,26.0,CL,30.2,33.4,14.5,2.72,,,,,,0.82,,,,1.94,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-14,26.5,27.0,CL,26.0,29.2,11.6,2.72,,,,,,0.82,,,,1.89,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,306794.0439,2771606.579,1.21,105.39
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-5,,,,S-15,28.0,28.5,CL,26.7,30.3,11.6,2.72,,,,,,0.84,,,,1.88,,,,,,,,,,,,,,,,,,,TW67,305965.331,2771812.824,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,306794.0439,2771606.579,1.21,105.39
